Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Optimizer,Val Loss,Val Accuracy
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,1,64,1,0,1,0,1,64,1,0,6,1,1024,1,0,1,0,1.0270556736,0.6315
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,0,0,6,1,1024,1,0,1,0,1.16292514038,0.5961
1,32,0,0,7,1,0,32,0,0,6,0,1,32,1,0,6,2,1,16,0,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,0.924801237202,0.6886
1,64,1,0,8,2,1,8,0,0,5,0,0,32,1,0,10,1,0,64,1,0,3,1,0,64,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,1.71832474785,0.4855
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,2,1,64,1,0,3,2,1,128,1,0,6,0,32,1,0,10,1,1.43742042351,0.5278
1,8,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,1,128,1,0,5,0,1.11494808683,0.6018
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,1,1024,1,0,2,0,1024,0,0,5,1,1.94507529182,0.3866
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,0.981925098896,0.6648
1,32,1,0,10,2,0,32,0,0,9,0,1,32,1,0,6,2,1,16,0,0,7,2,0,16,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,0.89076769371,0.681
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,1,16,0,0,0,1,128,1,0,5,0,1.41566516075,0.5422
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,1,64,0,0,3,2,1,128,1,0,6,1,128,1,0,5,0,0.989738827515,0.6524
1,32,1,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.74541104126,0.4341
1,64,1,0,0,2,0,32,0,0,9,0,1,8,0,0,2,0,0,64,0,0,10,2,1,8,0,0,4,0,0,32,1,0,3,1,128,0,0,0,2,1.12267910786,0.6042
1,32,1,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.00384862175,0.6606
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.47449409733,0.4626
1,8,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.19619314823,0.6181
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.2733867363,0.5538
1,32,0,0,7,1,0,32,0,0,6,0,1,32,1,0,6,2,1,16,0,0,3,1,0,64,0,0,4,0,1,256,1,0,6,1,32,1,0,1,0,1.36713059597,0.5356
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,1,0,64,1,0,7,2,1,64,1,0,3,0,1,128,1,0,6,0,32,1,0,10,1,1.09782731457,0.6329
1,32,1,0,10,2,0,32,0,0,9,0,1,32,1,0,6,2,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,1.42316903439,0.5469
1,16,1,0,3,1,0,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.2366330492,0.5668
1,64,1,0,0,2,0,32,0,0,9,0,1,8,0,0,2,0,0,64,0,0,10,2,1,8,0,0,4,0,0,32,1,0,5,0,16,0,0,4,0,1.11819947767,0.6049
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,0.952933732796,0.6718
