Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.10170533466,0.6154
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.02664513073,0.6485
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.1431385931,0.6023
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.24167254181,0.5605
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06143093224,0.6347
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11553412399,0.621
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.12938618183,0.6053
1,64,1,0,5,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.1764455883,0.6158
1,64,1,0,6,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.10737157726,0.6131
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.14044090137,0.5926
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.0508963273,0.6405
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06304494038,0.6333
1,64,1,0,5,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.12884955864,0.6145
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11300267439,0.6104
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11481693544,0.6156
1,64,1,0,6,2,0,16,0,0,2,1,0,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,10.3905779068,0.2791
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05628036575,0.6375
1,64,0,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11147741795,0.6219
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06844809456,0.6343
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11363777447,0.6127
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05880247602,0.6352
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.09618068295,0.6175
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.06214026184,0.6433
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.05894430962,0.6373
1,64,1,0,6,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11500628777,0.6197
1,64,1,0,5,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.09652001457,0.6334
1,64,1,0,5,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11696788321,0.6379
1,64,1,0,6,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.09588822289,0.6369
1,64,1,0,6,2,0,16,0,0,2,1,1,16,1,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.01917146492,0.6439
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,3,1.16427708168,0.5912
1,64,1,0,6,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,3,1.05449363499,0.644
1,64,1,0,5,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.15365030785,0.6147
1,64,1,0,5,0,0,16,0,0,2,1,1,16,1,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.04422982693,0.6336
1,64,1,0,5,0,0,16,0,0,2,1,1,16,0,0,2,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.10879607439,0.6263
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,14.5062856628,0.1
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,2,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.08227716637,0.6212
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.11236834011,0.6208
1,64,1,0,6,2,0,16,0,0,2,1,1,16,0,0,6,1,0,8,0,0,4,2,0,32,0,0,4,0,0,256,1,0,1,2,1.03022911129,0.6436
